input_text,encouragement_text
嫌われちゃったのかな。別れたいのかな。, 俺はもう何もいらない。
彼がなかなか難ありの性格なので悩みますわら。, 幸福になるには理想と現実の関係を知らなければなりません。
とてもつらいです。, 自分の欠点や弱点を克服する為に人よりも一回深く踏み込む人だと思います。
仕事でも周りにどう思われてるのかなって不安になったり。, 君は素晴らしい。
わたしはつい彼に先のビジョンがあると勘違い。, 人は心で考える通りのものである。
自分は前の病棟スタッフからどう思われてたすか。, 何にも変わらないように見えても自分自身はいつも新しくなっている。
体重もキロ増えて重いです。, 愛とは何かなんていうものはない。答えは汝が生きて居る事である。
今月の終わりに彼と泊まりの予定があるのですがそれも難しいのでしょうか。, あなたが貧しいのは価値がないからではありません。
それが不安です。, 君は決して他人の悪口を言はない。
そのきっかけはわかりますかちなみに今少し不安があり。,人はその煩悶の始末をただ理性にばかり委せるために心を乱すことの方が多いのである
職場では人間関係がネックです。, 僕は常に二人の人間を演じてきたんだ。
好きとか付き合いたいとか言っててもちゃんと伝わってないってことですかね。, どんなに疲れしていても自分で自分を認めてあげなくてはいけません。
だから答えられないという感じですか。,女はヨソの人と同じような形での幸福をのぞみつつそれでもなおひとあじちがう人生をと考えているのでは
復縁も難しいものでしょうか。, 愛を惜しむな。
それがネックになり決断出来ないと言われました。, 何かゲームをしているような感じなんだ。わけのわからないルールで。
どう思われてるのかもわからず。, 心に余裕を持つにはまず自分の心に理由を見つけることから始めるのがいいと思います。
なんだかあまりよくないですね。, 俺は死んだ後二次元っていう天国に行きたいんですよ。
諦めてるんですか！。, 自分の都合で真の友はできないよ。
生きることがしんどくなるときがあります。, 我々は今すぐどうやってこの不快な気分から抜け出すかを学ぶことができます。
それ以来今日まで私が送ったのには返事が一切なくて。, 失敗とはつまずくことではない。つまずいたままでいることである。
半ば嬉しそうに話していたのに呆れてしまいました。, 人間として大きくなればなるほどそれをあえて他人に証明する必要は無くなるのです。
女性が多い環境でコミュニケーションに少し困っています。, 失敗とはつまずくことではない。つまずいたままでいることである。
遠回しがすぎるので。, 私は何事もとりあえず試してみるタイプ。
彼が短気で私が堪忍袋がキレてしまいました！。, 私が私を肯定できるのは映画を作る経験があったから。
あ涙出てきたたぶん力いっぱい頑張れなかったら悔いが残ってるのかな。, 人みな我が飢を知りて人の飢を知らず。
疑心暗鬼になってしまいます。,人は何か物を得るために働きますけどその物もさほど必要な物ともかぎらずしかも時がたてば時代遅れとなる物ばかり
人前で発表することがよくあるのですがプレッシャーで。, 私が優勝したときのチームメイトを教えていたんですがデュエットで優勝した双子の姉妹がいたんです。
まだ会って二回目やのに。,人間性を見るためにはその人が直接利害関係のない他人をどう扱うかを観察してみれば自ずと人間性が出てくる
私はそこまで今の彼氏に気持ちがなくてどうしていいか分からないです。, 何よりもまず偉大な人物を産み出すことあとのことはそれで確実。
なんだか今日はちょっとお疲れ気味なのかあんまり元気がでません。, 人は皆演技者だ。しかし真に劇的な俳優は本物の役者ではない。
もう半分あきらめてました。, 自分の考えを執拗に押し付けてくる人は実はそこまで自分の考えが正しいと思っているわけではない。
私の何が原因なんでしょうか。, あなたがすることのほとんどは無意味であるがそれでもしなくてはならない。
すぐ怒ったりイライラしたりです。, 人の天性まちまちなる故に甘き物を甘く見ず甘き物に寛大であれ。
彼を疑っているのではなくじぶんに自信が持てなくて。, 何にせよ最上の証明とは経験である。
不倫で可哀想なのもあって。, 私の人生で一番誇れるものといったら母。
縁をつなげたままやと私の好きな気持ちが消えないというか苦しいんですよね。,僕の夢は叶った。なぜならいつも家族のそばにいられる
悲しい事実です！。, 私は自分が世界一の監督だとは思わない。
私が会いたいと時間作ってと言っても作ってくれないと思うんですよね。,私も自分が経験した最悪な状況に陥らないように部下に教訓を伝えていき
断られたことないから不安です。, 我々が人の心に善意を認める度合いは自分の善意と同じ度合いにすぎない。
最終的にダメになるて事ですね。, 私にできるのは愛することそして理想を信じることだけです。
私が会う直前に危篤とのことお会いできませんでした。, 君に事えてその本を忘れざるは天下の智恵なり。
待ち疲れてたのかも。, 失敗しない人は成功しない。何故ならチャレンジしないからである。
お互いイライラしたりしていないか。, 人間は考える葦というが本当に考えるだけである。
あ応えられないって事ですね。, 失敗しても良いです。
じゃぁこのまま付き合っても意味ないですね。, 我々は他者に何を与えることができるかという問題に対して責任がある。
今日これから出かけるかどうかさえわからない。, 私はあなたの意見には反対だ。だがあなたがそれを主張する権利は命をかけて守る。
それならそれであたし自身どうすればいいのか。, 人間の行動にも潮時がある。満潮に乗じて事を行えば首尾よく運ぶものだ。
今では普通に吸ってたりするのが嫌で。, みんなは自分で思うほど不幸でもなさそうだな。
私の母親と仲良くできる自信がないみたいで。, 夢を持たなきゃいけない。
何か自分が最低人間に思えて自己嫌悪に落ちっぱなしなんです。, 幸せは経験するものではなくてあとで思い出してそれと気づくもの。
老後。ウチも不安ですが。。, 人生は自転車だ。倒れたくなければ走り続けよ。
そんな現状なんですが彼の気持ちはもう離れてしまいましたか。,人生はいろいろな難関に出くわす。難関が次から次へとやってくるから面白いのだ
料理を私ができるかも不安ですし。, 人は皆それぞれ違った魅力と才能を持っています。
もう忘れてしまいたい。,人の生や群すること無き能わず群して分無ければ則ち争い争えば則ち乱れ乱るれば則ち窮す。
その方とうまくあまりいっていません。, 人生においては抵抗する事柄とはいつまでも縁が切れない。
あと前から気になってたんですけど彼あまり実家との関係ってよくないのでしょうか。, 幸せって言葉は嫌い。
もうダメですね。, 恋はそれが秘密でなくなるとともに楽しみではなくなってしまう。
なんせメンバーの予定が合いにくい。, 人の恋路を邪魔するヤツは馬に蹴られて痛かったって意味だぞ。
つまり邪魔したい感じでしょうか。, 幸福だけの幸福はパンばかりのようなものだ。
でもめっちゃ気まずい感じで。, どんなに悲しくてもあなたは私を待っているんだから。
なんて伝えればストレスです。, 私にはたくさんの借金があります。整理しなさい。
なかなか忙しい彼なので会えないのですが。, 人間の悩みに肉体の悩みと心の悩みがあるようにギャンブルの悩みも尋常じゃありません。
私のことが怖いのでしょうか。, 人生に迷ったときは難しい方困難な方を取れ。これ基本だ。その方が同じ時間を過ごしても得られる物が多い。
音大なんて行ける実力ないしやめておけって言われそうで。, 人は一人ではすべてを背負えないものだよ。
素直に喜びたいけど複雑です。, 自分が何をやりたいのかわからないという悩みも良く聞きます。
今勉強が不安だし正直したくないです。, 愛する事は優しさ信じる事は強さだ。
わたしは彼と会うべきなのかなんなのかわからなくなってしまいました。, 私は今自分が何をしたくて将来どうしたいのかわからなくなっています。
仕事が大変なんだろうな。, 夢を諦めるわけにはいきません。
いつ会えるのか分からないし。, 失敗をすることは成功するための第一歩だ。
やめた方がよいですよね。, 何事も修行。
それがよくわかりません。,あなたが人の信頼やつながりを蔑むのは信頼に値する相手がいないから。でもそれはあなたが他人を見下し心を閉ざした結果
旦那が頑張っているのはわかるけど私の気持ちがすっきりしないままで。, やらなかった場合にどうなってしまうのかと考えたらそっちのほうが怖かった。
この先どうなるのかなと漠然とした不安が。, 自分が成功できない理由は一日延ばしの習慣にある。
やっぱりうまくはいかないんですかね。, 僕に才能があるんぢゃない僕が天才てんでにゃないただ努力してるだけじゃあ。
彼の気持ちが見えないなーってことが心配で。, 私自身も違う業界からプロ野球界に入ってきてこれからもやれることはたくさんあると感じています。
彼の気持ちがよくわからず。, あなたにできるのはすることを見つけることそしてそれを続けることです。
周りになんか言われるのが嫌みたいで。, あなたが自分の一部である対象を信頼しなさい。
会社側からハッキリゆわれるまで転職活動しにくいので。, 自分が人生を賭けてもいいと思えることに取り組まなくてはいけません。
家もなかなか見つからず。, 人の心は空に繋がっているんだと僕は初めて知った。
を入れると心配し過ぎている感じがしてい。,どんな時でも楽しい瞑想の方法は小さな柔らかいチョコレートケーキをそっと噛みしめつつ深く感謝しながら食べるやり方である。
私はそこがいちばんいやです。, 何事もほどほどに頑張るとうまくいくようになります。
ここ数年フラれてばかりで恋愛に自信なくしてます。。, 私たちはみなさんに支えられ助けられています。
友人とも疎遠になりつつあり。, 僕の心の奥底のダークな部分とかを楽曲に出してる。
いえ嫌いではありませんが苦手意識があります。, 女にとって束縛は免れ得ない運命で女がこの束縛から離れようとすればいっそう激しい苦しみに出会。
私の事すごく怖いと思いますきらいだとおもうし。, あなた自身の自我に忠実でありなさい。
やはり不倫ということが頭にあります。, あなたの心が整っていなければ恋もうまくいきません。
一週間以内に来なかったら諦めたほうがいいということですか。,どうすれば戦わずして勝ちうるか奇計異術では出来ない。誠をもって押してゆく以外にない。
いつも済みません。, 自分の写真しか撮らないって25年撮らなかった。
その注意は少し重い感じですか。, 自分に対する期待はやろうとする意欲をかきたてる鍵である。それは自己イメージを変えることから始まる。
いつも好きな人になかなかすかれないのですが。, 何事も新しいことをやるときは他人の仕事を引き受けるより自分に仕事を引き受けるほうが安全である。
よく意味がわからなくて。, 心にはいつも喜びを。
なんでこうなったかもわからないのにもやもやするし。,愛をもらい愛を与え互いの間柄になると相手の欠点や弱点が目につき気になって気
心が心配でなりません。, 自分の人生なのに自分の顔色ばかり気にしてるなんてもったいないでしょ4人の命は短いんだから!。
彼に会ってる体力がないかも。,愛も能力も才能も魅力もたくさんある。価値も自信も実はあるんです。気づいてないだけ。だから
借金が増える一方で。, 夢を諦めるわけにはいきません。
待ちの姿勢は嫌ですね。, どんな子供も宝物です。みな神の手によって造られたのですから。
まだ決心はついてません。, あなたの心が最も大切にするものに従ってください。
最近喧嘩ばかりで。, 私には理想とするサッカーはない。
言えなかったです。, 私には年老いた母の愛犬ソルフェージュがある。
私には何も望んで無いでしょうねバツが悪そうだ彼女。, 人はどんな高いところでも登ることができるしかしそれには決意と自信がなければならぬ。
あと彼も未練とかあるでしょうか。,私はただ神のご意志を実現したいのです。神は私が山に登るのを許されました。そして私は山の向こう
怒っているのですか。, 女の慈愛はあらわだけれども男の愛情はただのもろいものである。
愛情はもう薄れてしまっているんですよね。, 私は失敗を受け入れることが出来る。
追い詰め過ぎですか。。。, みんなに守られ育てられたからこの私があるんだよ。
わたしはきっと自分がきつくなるのは目に見えてる。, あなたが仕事を選ぶのではない。仕事があなたを選びあなたを呼んでいる。
なんか彼にとって重くなりたくなくて。, どんなことにも笑う人間はどんなことに対しても笑うだろう。
ちょっとわかりにくいです。, 言葉に言霊があるように音楽にも音霊があります。
話すら耳を傾けてくれないんだよ。, 人の心はお金で買えない貴重な財産。
何だか自分に自信がなくて。,私は自分の直感に従うわ。すべて上手くいく良い一日になると自分に言い聞かせるの。自分の直観はハズレること
束縛が強すぎて。, 心底反省しました。
昨日また少しケンカしまして。, 他人が口にするマイナスの言葉はあなたが考えている以上のマイナスのパワーを秘めています。
と言って多分イライラしてるんだろーなって。, 私は自分に自信がないし実力を過信していない。
何だか彼の気持ちがわからなくなりました。, 失敗に達人などというものはいない。誰でもみな失敗の前には凡人である。
じゃあ私と付き合ったりとかはできないってことですよね。,心優しくあたたかい男性こそが真に男らしい頼りになる男性なのだと気づくとき
欲求は叶えられずに仕事だけするのってかなりきつかったです。,私が見つけた最も勇気ある行動は彼らを友人にしその成功を手伝うこと
なんか忙しいかなとか気を遣ってしまう自分もいるんですよね笑。,自分の好きなものを引用するという方法は昔からやっているから1つひとつにこれはこうですという
もしあってもなに話していいか分からないし。,何を考えてるんですか息子を殺す気ですか息子は想像力でここまでこれたんです何を考えてると逆境
私が負けてるということですか。, 愛を惜しむな。
私も自信はないんですが。, 君たちはこれから何度も転ぶ。
怪しい気がして。, 私自身をつぎ込める仕事をもっていないことには寂しい思いをする。
その子と付き合って私はいじめにあいました。, 自分が好きでやってる連中は給料安く済むでゲスな。
面倒って思われてるのかぁ。, 他人にいくら迷惑を掛けてもいい。
そんなの無駄だって分かってるから。, 私はずっと悩んでいました。
今までお付き合いした事がなくて。恋愛があまりわからないんです。, 失敗はたくさんあるけどその失敗が血となり骨となるので損はしないんですよ。
あんまり合わない。, 僕らクリエイターは常に現状に対して怒りを抱えているんですよ。
表面的を見てしまいがちなので気をつけなきゃです。,自分というものに学校というものは一切存在理由がなかった。自分にとって図書館と古本屋さんさえあればそれ
彼女とうまくいってないのかな。, 愛は与え合うふりをしながら実は奪い合うものだから。
よくわからなくて。, 私はずっとサッカーをやってきてその延長線上にある人生なんです。
今はまだ負担になりますかね。, 自分の中で何が面白いのか面白くないのか何が自分に向いているかどうなのかは毎回試行錯誤。
彼に言ってもどうしようも無いのに。, 恋は愚か者の知恵であり賢い者の愚行である。
状況を話してくれないから分からないです。, 何はともあれ私らの写真はちゃんとキレイに載せてもらわんとね。
会社都合で解雇になってからなかなか再就職が決まりません。, 自分の気持ちに正直なら困難にだって立ち向かえる。
前彼ともどってはよくないでしょうか。, 愛に支えられた行動をとれば生き延びるだけでなく勝利するだけでなく成功するだけでなくそれ以上の事が出来る。
私は疲れてきてます。。, 恋のことならどんなにロマンチックでもいいんです。
二年前告白したら先約がいると言われたので不安です。, 女の幸福な美しさは彼女が鼻面をまっすぐに保つところにある。
彼も彼女も憎いです。, 自分の心をもっと大きくしたかったから自分のことより他人の幸福を喜びなさい。
明るくむずかしいですね。, どんなに自分がベストを尽くしても相手がそれ以上ならば負けることはある。
でも女と出会ってからあからさまに冷たい会ったら。,俺のことやを何も知らない人が見ても華やかとか綺麗カッコ良いって思
怒られてしまいました。, 私たちの人生には悲しいことにいくつかの選択肢が用意されている。さもなくば私たちは皆死に追い込まれる。
居心地悪いよね。今は。, 我々が歴史から学ぶことは悪い点ばかりではない。
なかなか再び近付けなくてこのまま縁が切れてしまわないか心配です。,人情の機微を知るためにはやはり何といってもいろいろな体験を通じて多くの人びと
私もちゃんと言わなきゃだけど逆上するの怖いし。,仕事に忙殺され家庭やプライベートをおろそかにしていると運も逃
私私彼にとってダメな人ですか。, 自分に対する恐怖心は努力すれば消えるものです。
月は彼が忙しいとかぎっくり腰になったとかで。, 今日は良いスベり方だったな。
ほっとかれすぎるのは寂しいですね笑。, 人は誰しも自分が従事している仕事には冷静にはなれない。
私も疲れてますからあちらも疲れてますよね。, 人と同じ事は嫌だというのは誰でも一緒だと思います。
彼もそういう状態のわたしを心配してるのかも。, 私にとって作曲家の作品は聖書みたいなもの。
職場の人に変に思われてないかな。, 自分の価値観を人に押しつけたり押しつけられたりしちゃだめ。
会いたいとか言って重いとか気持ち悪いとか。, 何事も達成するまでは不可能に見えるものであ。
私が店の規律に違反することをしてしまい。, あなたは自分で決めなさい。自分で考えなさい。そうすればあなたはどんな問題にも解決法を見つけだすでしょう。
私も死にそうなくらい忙しくて辛くて。, 人は自分とまったく同じ考えや価値観を持たない人に魅力を感じます。
もらっている生活費の中からだと無認可保育料は高くて厳しいと。, 人間のやることですから必ず落とし穴がある。
わたしが彼の行動にイライラしてしまうことがあって。, みんな僕のこと天才だと言うけどそれは僕が天才だということを言いたいのではない。
当たりすぎてて怖いです笑。, 自分の夢が他人の夢に埋もれてしまわないようにしなさい。
彼のお母様と会うまでには至らなかったです。, 僕にとって監督とは自分そのもの。
むこうが結構忙しくて。, 人は愛することにかけては天才である。というのはそれらは理解しようとすればするほどいっそう理解しがたいからだ。
彼のご親戚に御不幸があってあえず。, 君は強い。
本音が言えない夫婦だったと思います。, 失敗とは成功する前に止めること。
トラブル多くて。, 僕たちは命を羽のように軽いものだと思っている。
わたしの気持ちがつまらない。, 人間は時として充たされるか充たされないかわからない欲望のために一生を捧げてしまう。
いつも同じようなのですが彼と喧嘩のような形になりそうで。, 私が自信を持って出来ることは自分自身であること。たとえ自分という存在がどんな人間であろうとも。
彼が私の妊娠を心配しています。,私は自分がダメ人間だったから学校へ行くのがすごくつらかったし面白くなかったので気持ちがすごい理解できたのね。
なんなのかわからなくなってきてしまいました。, 失敗は後のサプリメントになる。
何が問題なのかわからない感じですもん。, あなたの人生にベッドシーンはあってもラブシーンはありませんか。
彼の仕事がなかったらあえます。, 私の最大の希望は子供たちである。
日間くらい彼に会えないんです‾᷄‾᷅大丈夫ですかね彼。,夢や願望が成就されるのは潜在意識が何かを教えてくれるときだけです
最近少し閉塞感があります。, 他人のアラや欠点を詮索するより相手のアラや欠陥を直観して憐れむほうがずっと簡単。
わたしのせいにしてくるので。,誰も教えてくれなかったかもしれないが無知も罪だぞ。教えてくれる者がいなければ自分で学び取れ。それができなきゃ
同居しても彼と喧嘩して居場所のない私は外に出て頭を冷やす事出来ますか。, 人生を賭けるに値するのは夢だけだと思いませんか。
それがすごく嫌なんだと思います。, 他人より深く踏み込むのでパンチが奥に伸びるんです。
いじめは社会人になってもですか。, 自分の力で変えようとする。周りに流されない。だから自分らしくいられる。
あとそれに伴いりこんもできず恋愛もうまくいかず。,我々人間は生まれたときからそこにあり馴染んできた同じ形をした何かにいつかさよならを言いつける。
仕事で関わることもまた少なくなりました。, 人は天賦の才を決して私物化してはならない。むしろ謙虚になり集団のためにその才能を使うべきだ。
何度も話し合ったり喧嘩もしましたがだめです。, 何をやろうかと悩みますよ。何をやりとげるかだけ。
ちなみに彼が私に対して冷静に判断できないとはどういう意味でしょうか。, 他人にはどんなことでもすぐ分かってもその心の状態は何一つわかりません。
付き合うとなると責任とか感じちゃうんですかね。, 自分らしくある必要はない。むしろ日本人らしくなくなった方がいい。
夜すごい落ち込んだんですよね。。, 人生あまりむずかしく考えなさんな。暗かったら窓を開けろ光がさしてくる。
よくわからない状況が辛くて。, 本当に死にたかった奴なんていない。どうしようもないから死を願うんだ。
誘っても断られるきっと。, 成功の確率が50だったら絶対やらなきゃいかん。30でも挑戦する価値があるよ。
彼がこの様な態度になってしまうと未来が怖くなってしまったりしてしまうんです。, 愛無き義は正義にあらず。許さざる者は闇に同じ。
子供に関心なくて子育て一人で頑張ってて辛くなっちゃって。, 自分が変われば世の中が面白くなると思える人間でいなきゃいけない。
会わなくなってしまったんです。, 人というものはよき人が使えばよくなるものでございます。悪い人が使つて悪くなるものでござりませんぞ。
今の彼氏と結婚しても平気ですか。, すべての障害は形を変えて自分を現す。
じゃあもう諦めるしかないですね。, 私は今こう考えています。
しかし今日進行流産と診断されました。, 人間の最大の成功とは自己に対する勝利である。
夫にバレたら大変だしね。, 誰もが主体的で初参加なのである。
ということはわたしたちがうまくいくことはない。, 今日一日の行動を125倍のスピードでやれば一日一日の価値が上がる。
二日酔いってこんなにも辛いんですね︎笑。, 自分の中に待つ心という余裕は必要なのではないでしょうか。
彼にあいたいと衝動がつらくて。, 人間は何も食べず飲み食いしずっと動きっぱなしの状態では太る一方だ。
日よりかかってしまいそうやそしたら体だけになってしまうのも嫌やし。,自分の人生色を塗るのは自分だけですからね。自分に惚れる。自分を信じ
歳も歳だしあせりもあって。, 人間は自分の運命を自分で決めなければならない。
やっぱりほっとけなかったです。, 人は心を持たないほうがラクなんですよ。心を持つということは辛いことですから。
それについてなにかいう人もいないのに。, 私たちが私たちの行動を決めているけれどそれと同じように私たちの行動も私たちを決めているんだよ。
私はこれからどうしていけばいいでしょう。, 恋の計算においては10は1より1個小さい2より1つ大きいつまり百分率は2が最もよい。
辛いんですよねなんか。, 人間は一人ではすべてを背負えないものだよ。
好きな人の事ばかり考えてしまって。, 人はほとんど常に誰かが前に踏みしめていった道を歩むものである。
だってなかなか彼とは繋がらないのでこっちの気持ちが冷めてきてて。, 自分や自分の観点が小さく思えるような体験をしよう。
彼のことを永遠に信用できないとおもいます。, 私があなたの様な小物と手を組むと思いますか。
不安で不安で何も手につきませや。, 自分とひたすら向き合う。
情緒不安定さに私が振り回されてますね笑。, 幸福を数えたらすぐ幸福になれる。
誘いづらいのかな。, どんな人生でも大きな共通点があってそれと同時にどの人たちもそれなりにユニークで違う人物なの。
ですね新しい職場の同期の女の子に凄いアタックされているようで。,人生に結末がなかったとしたならば誰が自己の運命に絶望するであろうか。死は
また告白しても迷惑なだけですか。,人はみなさまざまに長ずるところ信ずるところを行えばよいのさ。社会は大きいからあらゆるものを包容して毫も不
ただ人前や大勢の場所学校や職場に行くとうまく自分自身を表現する事ができません。, 俺は雷雨の化身!。
いない可能性がある。, 愛する者のためだ。喜んで戦うぜ。
正直自分がその場にそぐわないな。, みんな気に入らないヤツが居たら一斉に袋叩きにする。
最近ぶつかることが多くて。, 自分の好きなものを見つけるっていうのは才能だ。
去年就職試験落とされてしまって。, 人の価値は不運の時へこたれないかどうかである。
やぱ合わないんかな。我慢してるかな。, 人間は自分の生命を生きるのだ。いきいきと楽しくいきるのだ。
それで少し怒ったきがした。,やっぱり目標がなくなるとぽかーんと穴が空いちゃうんだ。やっぱ夢の数字だったからね
来月は旅行に行く予定を立てていたのですが仕事だからと無しになりました。,失敗が失敗で終わらないことのほうが多い。失敗を恐れず前向きに挑戦
彼に対してイライラしてしまい結婚しようか迷ってます。,すべての宗教はそれがいかに幼稚かつ未熟であろうとも常に人間存在の弁神論でしかあり得ない。
もう自信なくした。, 僕に若年が二回老年が回ってくるは誤りだ。
それは私も望んでいなくて。, 人間は死を予測することなどとうの昔に諦めている。
どうしていったらよいかがよくわからなくなってきました。, 人間というものはやっぱり経験をしなければ自分は生まれてきません。
うまく割り切れないです。, 君は自分を傷つけたおんなを殺すことは許されていない。
なんとも言えません。, 人間は誰でも幸福になろうと思っている。でも幸福になるプロセスを知らない。
鬱病らしいんですけど。, 女の考えが分かった男には破滅まっしぐらの運命が待っている。
付き合いたてなので不安しかないです。, 私自身がユーザーとしてパソコンショップを訪れたのがきっかけです。
最近誰かに振り回されてる感じがしていて辛いです。, 私にとって作曲家の作品は聖書みたいなもの。
私の事嫌いなのかな。, 自分が何をしたいかくらい自分の頭で考えろ。俺にとってヒーローなんていない。影響を受けたバンドなんていないんだ。
周囲の目が怖くて仕方ないです自意識過剰なのはわかってるんですけど。,失敗に達人などというものはいない。誰でもみな失敗の前には
たしかに疲れてるとおもいます。, 人はあるところでは卑劣に行動しながら別のところで高徳に振る舞うことはできないのである。
気持ちと行動が一致しなくなってます。, 人間はただ自分がしたいと思ったことをせずいやだと思うことに努めるならばそれぞれ身を全うすることができるものだ。
やめない方が良いですかね。, 夢と現実の間に橋をかける。
コミュニケーションが弱いのであまり。, 人間は自分が思うほどには幸福でもない。天の加護を受けているからだ。
私がイライラしたことを彼にぶつけてしまったことです。, 私は自分自身に関して言うほど自信はない。私にはできると信じている。
うまく話せなくて。, 人生にはひとつのことに成功したとか失敗したとかいっている暇はないのですよ。
半年前からトラブルになっていて。, 私にとっては本が最初の福音であり最初の聖書であり最後の聖典でした。
結婚は出来ないんですね。, 我々が誕生の日に受け取る人生は真の人生の前渡しに過ぎない。真の人生は我々が一人で見つけねばならない。
断られちゃって誘いにくいなーって。, 私はいつもまだ自分ができないことをする。そのやり方を学ぶために。
もうなんかうっとおしいわ。なんとなく。, すべての宗教はそれがいかに幼稚かつ未熟であろうとも常に人間存在の弁神論でしかない。
警戒されているんじゃないか。, 人生という本の大部分は学校で教えられることをはるかに超えている。
あまりわからないというのは。, 夢を叶えることを諦めてはいけない。
思い出してると思うのが嫌です。, 私たちは皆家族で特別な習慣を持つ必要がある。
彼言葉きつめですからね。, 成功する者の条件はまず自己を貫く力を持っていること。次に努力を継続できる意志力を持っていることである。
だからダメだって。, 私は自分自身を実験台にして方位の吉凶や運気の波を調べデータを集めてきました。
ヒステリックで。, 自分の言葉で仕事をすることに抵抗はありませんでしたね。
人と関わることが好きですがしゃべるのが下手で友達もなかなかできません。, 失敗してもいいではないか。やればできる。
私はそれが嫌でパートに出て。, 自分のことは棚に上げてただ成績が良くなりたい。
今なにしてもリアクションないでしょうたぶん。, 愛は決して絶えることがありません。
前にケンカした時は冷たい態度ぁりました。, 人間というものはやはり経験をしなければ自分は生まれてきません。
今の会社では精神的な消耗が大きくて難しい状況です。, みんなと同じ事はしたくないというみんなと同じセリフ。
人間関係に疲れてきました。,我々をとりまく全ての物事は常に変化している。変化の源泉は生きる力にある。それは不変であり結果を生んではまた創造
もう悩んでいるのもしんどくて。, 恋は決闘である。もし右をみたり左を見たりしていたら敗北である。
もう振り向くことはほぼないですね。, 私が生きられる場はここなのだ!なぜならば私はそのために生まれて来たのだしそのために生きてきたんですもの。
彼の家庭が最近うまくいっていない気がしています。, 成功を求める時間もないほど忙しい人のところへ成功は訪れる。
嫌いになったということですか。, 自分がやらなければこの会社は潰れる。そのくらいの危機感を持って仕事に臨むべきだ。
もう私に向いてもらうことは出来ないのでしょうか。, 私は自分の仕事を誰よりもうまくこなすことを目指してきました。
そこが一番不安で。, 人間は希望さえあれば恐怖には屈しない。
ご縁があるか不安で。,人間にとって最大の発見最大の驚きは人間はそもそも空間と時間との領域の中に住むのではなくむしろ自己と時間の中の物質とを見ているという事実
やっぱり放置しとべきですよね。, 人間にはそれぞれ才能があるというけれどそんなのは嘘だ。
すごく悔しいのですが次の仕事を新たに探すべきか。, 私は自分の直感に頼りつつも未来を信じて疑わない。
信じられないです✨。, 人の行動の全ては奇跡であり偶然であり必然でもある。
わからないですよね。, どんなに自分が正しいと思っても相手をトコトン追いつめちゃいけない。
気持ちが読み取りづらいところにうまく自分の気持ちを言えない不安感があります。, 何かでごまかすんじゃないわよ。わたしみんなを驚かせるわ。
